Msg, Mean, Deviation, Count
Scale2d,3766.614014,407.092133,131072
Scale3d,3698.211182,371.097046,131072
Multiply2d,4073.972168,320.507690,131072
Multiply3d,4206.462402,291.190308,131072
Translate2d,4154.245117,659.095032,65536
Translate3d,4194.556152,306.788147,131072
Subtract2d,4074.209961,299.098389,131072
Subtract3d,4226.749023,717.927429,65536
Length2d,4026.231445,740.278809,65536
Length3d,4054.490234,376.370758,131072
Dot2d,3999.504883,299.520996,131072
Dot3d,4231.833008,762.129761,65536
Sestoft,3451.045410,355.417877,131072
SestoftPow,3901.739746,366.309235,131072
Primes,9044046.000000,83091.289063,32
Memtest,1014820.062500,15532.572266,256
